Sample date,Weather,Location,Site Reference,Temperature,pH ,Conductivity,Dissolved Oxygen,Turburdity,Nitrite ,Nitrate ,Total Coliforms ,E-Coli,Faecal Streptococci,Ammonium as NH4 ,B.O.D ,C.O.D. ,Phosphate mg/l,Salinity (ppt)
,,Hartcliffe Way,5,,,,,,,,,,,,,,,
,,Cadogan Road,10,,,,,,,,,,,,,,,
1995/01/26,,Ashton vale,4,7,,690,,23,0.124,0.072,73000,36000,,,,,,
1995/01/26,,Hartcliffe Way,5,7,,550,,50,0.046,0.11,19000,4000,,,,,,
1995/01/26,,Manor Wood,6,7,,660,,10,0.055,1,47000,6300,,,,,,
1995/01/26,,Gas works at Malago Vale,7,7,,780,,22,0.055,0.35,8600,6000,,,,,,
1995/01/26,,Lynet Way,8,7,,570,,8,0.077,0.06,4700,1400,,,,,,
1995/01/26,,Allison Road,9,7,,590,,7,0,0.8,22000,19000,,,,,,
1995/01/26,,Cadogan Road,10,8,,710,,3,0.021,0.076,110000,45000,,,,,,
1995/01/26,,St Georges Park Lake,11,6,,470,,5,0.018,0.13,1000,740,,,,,,
1995/01/26,,Dubbers Lane,12,10,,1650,,6,0.254,0.15,61000,4200,,,,,,
1995/01/26,,Eastville Park Lake,13,6,,530,,1,0.009,0.012,480,200,,,,,,
1995/01/26,,Snuff Mills,14,7,,480,,75,0.057,,20000,8100,,,,,,
1995/01/27,,Avonmouth Rhine,1,3,,1700,,19,0.023,0.13,400,,,,,,,
1995/01/27,,Trowbridge Road,2,8,,750,,3,0.034,0.11,380000,20000,,,,,,
1995/01/27,,Coombe Dingle,3,7,,820,,3,0.019,0.055,8500,800,,,,,,
1995/01/27,,Mina Park ,15,9,,1060,,2,0.036,0.8,11000,2400,,,,,,
1995/02/22,,Avonmouth Rhine,1,8,7,800,,3,0.09,0.051,200,,,,4,,,
1995/02/22,,Trowbridge Road,2,8,8,900,,0,0.03,,110000,24000,,,3,,,
1995/02/22,,Coombe Dingle,3,9,8,800,,1,0.012,,28000,2000,,,3,,,
1995/02/22,,Ashton vale,4,8,8,900,,0,0.169,1,18000,2200,,,3,,,
1995/02/22,,Hartcliffe Way,5,8,8,,,1,0.036,,34000,2500,,,2,,,
1995/02/24,,Manor Wood,6,,8,,,1,0.027,,62000,33000,,,4,,,
1995/02/24,,Gas works at Malago Vale,7,,8,,,4,0.387,,20000,5400,,,4,,,
1995/02/24,,Lynet Way,8,8,8,,,2,0.051,,6000,800,,,2,,,
1995/02/24,,Allison Road,9,8,7,,,1,0.218,0.068,190000,38000,,,4,,,
1995/02/24,,Cadogan Road,10,9,7,1080,,0,0.143,,16000,4400,,,8,,,
1995/02/24,,St Georges Park Lake,11,6,7,,,1,0.006,0.28,22000,4000,,,9,,,
1995/02/24,,Dubbers Lane,12,11,7,,,0,0.5,0.17,32000,4000,,,46,,,
1995/02/24,,Eastville Park Lake,13,6,7,,,0,0.034,0.75,200,,,,6,,,
1995/02/24,,Snuff Mills,14,7,8,,,1,0.003,,10000,2200,,,3,,,
1995/02/24,,Mina Park ,15,9,8,,,0,0.044,,11000,6800,,,3,,,
1995/03/22,,Dubbers Lane,12,11,8,860,,1,0.5,0.012,19200,15400,,,16,,,
1995/03/22,,Eastville Park Lake,13,8,8,880,,1,0.044,0.25,440,50,,,5,,,
